id,name,cuisine,baseServings,protein,allergens,difficulty,prepTime,emoji,imageUrl,imgQ,ingredients,instructions
r011,Pea and Poached Egg Stew,Portuguese,4,vegetarian,eggs,Medium,40,🍲,"https://loremflickr.com/760/560/Pea,and,Poached,Egg,Stew,recipe,food?lock=111",Pea and Poached Egg Stew recipe,"[{""name"":""Eggs"",""amount"":4,""unit"":""pcs""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Peas"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":2,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":3,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Chop the vegetables and season the main protein or legumes."",""Sauté onion and garlic in olive oil until soft."",""Add the protein, legumes or vegetables and brown lightly if needed."",""Add tomato, stock and spices, then simmer gently."",""Cook until the sauce thickens and everything is tender."",""Serve with rice, potatoes or bread as preferred.""]"
r012,Pea and Smoked Tofu Stew,Portuguese,4,tofu|vegan,soy,Medium,40,🌱,"https://loremflickr.com/760/560/Pea,and,Smoked,Tofu,Stew,recipe,food?lock=112",Pea and Smoked Tofu Stew recipe,"[{""name"":""Firm Tofu"",""amount"":450,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Peas"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":2,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":3,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Chop the vegetables and season the main protein or legumes."",""Sauté onion and garlic in olive oil until soft."",""Add the protein, legumes or vegetables and brown lightly if needed."",""Add tomato, stock and spices, then simmer gently."",""Cook until the sauce thickens and everything is tender."",""Serve with rice, potatoes or bread as preferred.""]"
r013,Portuguese Mushroom Rice,Portuguese,4,vegan,,Easy,30,🍚,"https://loremflickr.com/760/560/Portuguese,Mushroom,Rice,recipe,food?lock=113",Portuguese Mushroom Rice recipe,"[{""name"":""Mushrooms"",""amount"":400,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":3,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":4,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""},{""name"":""Fresh Coriander"",""amount"":10,""unit"":""g""}]","[""Prepare and chop all ingredients."",""Heat oil in a large pan and sauté the aromatics."",""Add the main protein or vegetables and cook until browned."",""Add sauce, seasoning and a splash of water if needed."",""Simmer or toss until everything is cooked through."",""Serve hot with the suggested side.""]"
r014,Portuguese Tomato Rice with Fried Egg,Portuguese,4,vegetarian,eggs,Easy,30,🍚,"https://loremflickr.com/760/560/Portuguese,Tomato,Rice,with,Fried,Egg,recipe,food?lock=114",Portuguese Tomato Rice with Fried Egg recipe,"[{""name"":""Eggs"",""amount"":4,""unit"":""pcs""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Carrot"",""amount"":2,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":3,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":4,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Prepare and chop all ingredients."",""Heat oil in a large pan and sauté the aromatics."",""Add the main protein or vegetables and cook until browned."",""Add sauce, seasoning and a splash of water if needed."",""Simmer or toss until everything is cooked through."",""Serve hot with the suggested side.""]"
r015,Portuguese Chickpea Salad with Egg,Portuguese,4,vegetarian,eggs,Easy,25,🥗,"https://loremflickr.com/760/560/Portuguese,Chickpea,Salad,with,Egg,recipe,food?lock=115",Portuguese Chickpea Salad with Egg recipe,"[{""name"":""Eggs"",""amount"":4,""unit"":""pcs""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Peas"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":3,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":4,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Cook the grain or noodles and cool slightly."",""Prepare fresh vegetables, herbs and dressing."",""Cook or warm the protein if required."",""Arrange the base, vegetables and protein in bowls."",""Drizzle with dressing and toss gently."",""Serve with lime wedges or extra herbs.""]"
r016,Chickpea Brás,Portuguese,4,vegetarian,eggs,Easy,30,🥗,"https://loremflickr.com/760/560/Chickpea,Br,s,recipe,food?lock=116",Chickpea Brás recipe,"[{""name"":""Eggs"",""amount"":4,""unit"":""pcs""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Peas"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":3,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":4,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Slice the onions and vegetables finely."",""Sauté onion and garlic in olive oil until soft."",""Add the main vegetable or chickpeas and cook until tender."",""Fold through potatoes or a potato alternative."",""Stir in beaten eggs or a vegan binder until just set."",""Finish with parsley and olives.""]"
r017,Mushroom Brás,Portuguese,4,vegetarian,eggs,Easy,30,🍄,"https://loremflickr.com/760/560/Mushroom,Br,s,recipe,food?lock=117",Mushroom Brás recipe,"[{""name"":""Eggs"",""amount"":4,""unit"":""pcs""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Mushrooms"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":3,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":4,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Slice the onions and vegetables finely."",""Sauté onion and garlic in olive oil until soft."",""Add the main vegetable or chickpeas and cook until tender."",""Fold through potatoes or a potato alternative."",""Stir in beaten eggs or a vegan binder until just set."",""Finish with parsley and olives.""]"
r018,Leek and Potato Brás,Portuguese,4,vegetarian,eggs,Easy,30,🥗,"https://loremflickr.com/760/560/Leek,and,Potato,Br,s,recipe,food?lock=118",Leek and Potato Brás recipe,"[{""name"":""Eggs"",""amount"":4,""unit"":""pcs""},{""name"":""Potatoes"",""amount"":600,""unit"":""g""},{""name"":""Leek"",""amount"":2,""unit"":""pcs""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":3,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":4,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Slice the onions and vegetables finely."",""Sauté onion and garlic in olive oil until soft."",""Add the main vegetable or chickpeas and cook until tender."",""Fold through potatoes or a potato alternative."",""Stir in beaten eggs or a vegan binder until just set."",""Finish with parsley and olives.""]"
r019,Courgette and Egg Brás,Portuguese,4,vegetarian,eggs,Easy,30,🥗,"https://loremflickr.com/760/560/Courgette,and,Egg,Br,s,recipe,food?lock=119",Courgette and Egg Brás recipe,"[{""name"":""Eggs"",""amount"":4,""unit"":""pcs""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Courgette"",""amount"":2,""unit"":""pcs""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":3,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":4,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Slice the onions and vegetables finely."",""Sauté onion and garlic in olive oil until soft."",""Add the main vegetable or chickpeas and cook until tender."",""Fold through potatoes or a potato alternative."",""Stir in beaten eggs or a vegan binder until just set."",""Finish with parsley and olives.""]"
r020,Spinach and Chickpea Brás,Portuguese,4,vegetarian,eggs,Easy,30,🥗,"https://loremflickr.com/760/560/Spinach,and,Chickpea,Br,s,recipe,food?lock=120",Spinach and Chickpea Brás recipe,"[{""name"":""Eggs"",""amount"":4,""unit"":""pcs""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Spinach"",""amount"":200,""unit"":""g""},{""name"":""Peas"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":3,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":4,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Slice the onions and vegetables finely."",""Sauté onion and garlic in olive oil until soft."",""Add the main vegetable or chickpeas and cook until tender."",""Fold through potatoes or a potato alternative."",""Stir in beaten eggs or a vegan binder until just set."",""Finish with parsley and olives.""]"
r021,Portuguese Chicken and Tomato Rice,Portuguese,4,chicken,,Easy,30,🍗,"https://loremflickr.com/760/560/Portuguese,Chicken,and,Tomato,Rice,recipe,food?lock=121",Portuguese Chicken and Tomato Rice recipe,"[{""name"":""Chicken Breast or Thighs"",""amount"":600,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Carrot"",""amount"":2,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":3,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":4,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Prepare and chop all ingredients."",""Heat oil in a large pan and sauté the aromatics."",""Add the main protein or vegetables and cook until browned."",""Add sauce, seasoning and a splash of water if needed."",""Simmer or toss until everything is cooked through."",""Serve hot with the suggested side.""]"
r022,Lemon Garlic Chicken Traybake,Portuguese,4,chicken,,Medium,40,🍗,"https://loremflickr.com/760/560/Lemon,Garlic,Chicken,Traybake,recipe,food?lock=122",Lemon Garlic Chicken Traybake recipe,"[{""name"":""Chicken Breast or Thighs"",""amount"":600,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Carrot"",""amount"":2,""unit"":""pcs""},{""name"":""Lemon Juice"",""amount"":60,""unit"":""ml""},{""name"":""Olive Oil"",""amount"":3,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":4,""unit"":""cloves""}]","[""Preheat the oven to 200°C."",""Cut vegetables and protein into similar-sized pieces."",""Toss everything with oil, garlic, herbs and seasoning."",""Spread on a tray in a single layer."",""Roast until golden and cooked through, turning once."",""Serve with rice, potatoes or a simple salad.""]"
r023,Portuguese Chicken Stew with Peas,Portuguese,4,chicken,,Medium,40,🍗,"https://loremflickr.com/760/560/Portuguese,Chicken,Stew,with,Peas,recipe,food?lock=123",Portuguese Chicken Stew with Peas recipe,"[{""name"":""Chicken Breast or Thighs"",""amount"":600,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Peas"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":3,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":4,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Chop the vegetables and season the main protein or legumes."",""Sauté onion and garlic in olive oil until soft."",""Add the protein, legumes or vegetables and brown lightly if needed."",""Add tomato, stock and spices, then simmer gently."",""Cook until the sauce thickens and everything is tender."",""Serve with rice, potatoes or bread as preferred.""]"
r024,Chicken with Olives and White Wine,Portuguese,4,chicken,,Easy,30,🍗,"https://loremflickr.com/760/560/Chicken,with,Olives,and,White,Wine,recipe,food?lock=124",Chicken with Olives and White Wine recipe,"[{""name"":""Chicken Breast or Thighs"",""amount"":600,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Carrot"",""amount"":2,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":2,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":3,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Prepare and chop all ingredients."",""Heat oil in a large pan and sauté the aromatics."",""Add the main protein or vegetables and cook until browned."",""Add sauce, seasoning and a splash of water if needed."",""Simmer or toss until everything is cooked through."",""Serve hot with the suggested side.""]"
r025,Paprika Chicken with Potatoes,Portuguese,4,chicken,,Easy,30,🍗,"https://loremflickr.com/760/560/Paprika,Chicken,with,Potatoes,recipe,food?lock=125",Paprika Chicken with Potatoes recipe,"[{""name"":""Chicken Breast or Thighs"",""amount"":600,""unit"":""g""},{""name"":""Potatoes"",""amount"":600,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Carrot"",""amount"":2,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":2,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":3,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Prepare and chop all ingredients."",""Heat oil in a large pan and sauté the aromatics."",""Add the main protein or vegetables and cook until browned."",""Add sauce, seasoning and a splash of water if needed."",""Simmer or toss until everything is cooked through."",""Serve hot with the suggested side.""]"
r026,Chicken Rice Bake with Carrots,Portuguese,4,chicken,,Medium,40,🍗,"https://loremflickr.com/760/560/Chicken,Rice,Bake,with,Carrots,recipe,food?lock=126",Chicken Rice Bake with Carrots recipe,"[{""name"":""Chicken Breast or Thighs"",""amount"":600,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Carrot"",""amount"":2,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":2,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":3,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Preheat the oven to 190°C."",""Prepare the sauce, vegetables and main protein or legumes."",""Combine everything in a baking dish with the chosen carb."",""Cover and bake until bubbling and tender."",""Uncover for the final minutes to brown the top lightly."",""Rest briefly before serving.""]"
r027,Roast Chicken with Tomato Rice,Portuguese,4,chicken,,Easy,30,🍗,"https://loremflickr.com/760/560/Roast,Chicken,with,Tomato,Rice,recipe,food?lock=127",Roast Chicken with Tomato Rice recipe,"[{""name"":""Chicken Breast or Thighs"",""amount"":600,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Carrot"",""amount"":2,""unit"":""pcs""},{""name"":""Tomato Passata"",""amount"":400,""unit"":""ml""},{""name"":""Olive Oil"",""amount"":2,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":3,""unit"":""cloves""}]","[""Prepare and chop all ingredients."",""Heat oil in a large pan and sauté the aromatics."",""Add the main protein or vegetables and cook until browned."",""Add sauce, seasoning and a splash of water if needed."",""Simmer or toss until everything is cooked through."",""Serve hot with the suggested side.""]"
r028,Chicken and White Bean Stew,Portuguese,4,chicken,,Medium,40,🍗,"https://loremflickr.com/760/560/Chicken,and,White,Bean,Stew,recipe,food?lock=128",Chicken and White Bean Stew recipe,"[{""name"":""Chicken Breast or Thighs"",""amount"":600,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Carrot"",""amount"":2,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":2,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":3,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Chop the vegetables and season the main protein or legumes."",""Sauté onion and garlic in olive oil until soft."",""Add the protein, legumes or vegetables and brown lightly if needed."",""Add tomato, stock and spices, then simmer gently."",""Cook until the sauce thickens and everything is tender."",""Serve with rice, potatoes or bread as preferred.""]"
r029,Chicken with Peppers and Potatoes,Portuguese,4,chicken,,Easy,30,🍗,"https://loremflickr.com/760/560/Chicken,with,Peppers,and,Potatoes,recipe,food?lock=129",Chicken with Peppers and Potatoes recipe,"[{""name"":""Chicken Breast or Thighs"",""amount"":600,""unit"":""g""},{""name"":""Potatoes"",""amount"":600,""unit"":""g""},{""name"":""Bell Peppers"",""amount"":2,""unit"":""pcs""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":2,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":3,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Prepare and chop all ingredients."",""Heat oil in a large pan and sauté the aromatics."",""Add the main protein or vegetables and cook until browned."",""Add sauce, seasoning and a splash of water if needed."",""Simmer or toss until everything is cooked through."",""Serve hot with the suggested side.""]"
r030,Garlic Chicken with Roasted Vegetables,Portuguese,4,chicken,,Easy,30,🍗,"https://loremflickr.com/760/560/Garlic,Chicken,with,Roasted,Vegetables,recipe,food?lock=130",Garlic Chicken with Roasted Vegetables recipe,"[{""name"":""Chicken Breast or Thighs"",""amount"":600,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Carrot"",""amount"":2,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":2,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":3,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Preheat the oven to 200°C."",""Cut vegetables and protein into similar-sized pieces."",""Toss everything with oil, garlic, herbs and seasoning."",""Spread on a tray in a single layer."",""Roast until golden and cooked through, turning once."",""Serve with rice, potatoes or a simple salad.""]"
